airline_sentiment,text
negative,@united computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!
positive,@united good fly!! #United #businessFirst
neutral,"@united I am flying from msp to dxb, my child will turn 2 during the trip do I have to buy a return ticket for my child?"
negative,@JetBlue loves Cancelled Flightling tickets and not telling their customers #flyunited
negative,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away."
positive,@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!
positive,@AmericanAir everything for sorted out. Thanks for the help. Excited to get home tonight!
negative,@AmericanAir understand the weather but would be nice to hear an apology on the phone when you moved my flight to an inconvenient day
positive,@SouthwestAir and thanks!
negative,@united it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA
positive,@JetBlue Oh that totally looks on par with @AmericanAir's Admirals Club; any way you can slide us a couple passes? ;)
negative,@AmericanAir We've 15 official complaints signed by #AmericanAirlines Lima supervisor. Customer Relations pls compensate 4 the 10-hour delay
negative,@JetBlue but the 4 hour policy- when I called and they said I didn't report it soon enough. What would have changed if I had noticed sooner?
negative,"@united the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! That's code for ...?"
negative,@SouthwestAir Hi I just got a message that part of my flights is Cancelled Flightled. I can't rebook online and nobody answers my phone call. Help me
negative,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.
neutral,@USAirways I'm supposed to fly through Dallas. Can you help me get a new itinerary?
negative,@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good
positive,@united I am impressed with your super-fast reply to @CGJase
negative,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw
negative,@USAirways Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways
negative,@SouthwestAir do you do auto callbacks so I don't have to wait on hold?
neutral,@united can I get your service desk # at IAD?
positive,@JetBlue your blue helped bring out the color of my eyes. And I promise I didn't eat all the free snacks.
positive,@united Yes ! :D (Y) From @therealaviation on Instagram :)
negative,@JetBlue I did not report the updated info - don't know how to reach them without a super long wait on hold at your main number.
neutral,"@JetBlue I want to enter the family pooling contest, it says ""by 2/19"" on the website, can I please enter still!"
neutral,@USAirways and that you can choose the same seat for free after clicking 100 buttons.
negative,@united plus what about food? And taxis?
negative,@USAirways 3hr30min right now...  any end in sight?
negative,"@SouthwestAir, you're really going to let @delta and @virginamerica get the best of you? http://t.co/vUdWJm1lYB"
negative,@USAirways claims flight Cancelled Flighted due to weather at destination but Delta has not Cancelled Flighted flight on same route.
positive,"@JetBlue thanks so much for help Us, u r amazing!"
negative,@AmericanAir haha I did. They said it wasn't their fault somehow? You guys r a joke
negative,@AmericanAir your customer service is inferior to that of a nationalized third world nation's airline. Get it together.
negative,@AmericanAir Why does your iPhone app not have any sort of notifications option?
positive,@united thank you!
negative,@AmericanAir I've been trying to reach your customer service for TWO days. I have received zero response. Never traveling AA again.
negative,@united flight 4567 agent now wandered off. Pilots came out looking for her. Went to charge her personal phone which she'd been txting on
negative,"@united first you lost all my bags, now you Cancelled Flight my flight home. 30 min wait to talk to somebody #poorservice #notgoodenough"
negative,@SouthwestAir sat on a plane for 2+ hrs on 2/15! Then we finally took off.. :(
neutral,@JetBlue ANYWHERE!! http://t.co/FeFHPmFPlE
negative,@USAirways I have to spend more than the cost of the flight just to get a free room and transportation to and from the airport
neutral,"@SouthwestAir understand the weather, these kids need to get home! Nice kids doing volunteer work from a RI high school, please help"
neutral,"@AmericanAir My friend needs some help on her flt (she's not on Twiiter), can I DM you her info?"
negative,@AmericanAir my mom’s flight tomorrow Cancelled Flighted w/ no notice. Phone system said callback in 2 hours and it’s been 4. I need to go to bed!
negative,@americanair flight veers off icy runway at @dfwairport. Most DFW flights Cancelled Flighted Mon http://t.co/Q37pOWn6uv @Cowboycerrone figures right?
neutral,@united Could you tell me if this bag would be accepted as a personal item ? Can i bring one carry-on bag plus this? http://t.co/U390cZpLHl
negative,"@united yo, you need a new website really badly. This day and age..."
positive,@SouthwestAir  @TheEllenShow @Imaginedragons  @kdepetro313 .what a great first night. #DestinationDragons http://t.co/N3LrFo4UaY
positive,@USAirways right on. Up. Up &amp; away ✈️🌞
negative,@united Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.)
negative,@JetBlue Why would you charge money to transfer points to someone?
neutral,"@USAirways Is it possible to earn Dividend Miles for a passenger that is not me, even if I am purchasing the tickets?"
positive,Lmfaooo “@JetBlue: Our fleet's on fleek. http://t.co/1G9RnmYUQe”
neutral,"@USAirways Is there a phone line to call into that isn't being affected by ""bad weather""? Trying to book a vacation, here... 👀"
negative,@AmericanAir I have never seen such incompetency from a gate agent in years of business travel DFW B16 gate agent needs training or new job
negative,@USAirways F623 DEN:PHX impressive lack of concern by 1hr+ Late Flight flight attndt wrecking havoc on customer travel #smugsmirk #norush
neutral,@united Have clients with an 11 hr layover at IAH (during the day). Will they have to claim &amp; recheck luggage. Or will it be taken care of?
negative,"@united even so, change could not be made  online- instructed to call an agent- maybe the syastem should allow agents 2 link passengers!"
negative,"@united you can't claim ""weather"" with your hardworking crew pulling seats out of a plane! Do the right thing. But we both know you won't"
positive,@AmericanAir finally called! Can't get met Seattle so refund will be processed. Thanks
neutral,"@United just played the Most bizarre ""safety"" video I've ever seen... http://t.co/Hlm2Oks6xl"
neutral,@SouthwestAir I'm not sure I did the messaging part right. Please let me know if you received it.
neutral,@SouthwestAir booked the 8th.... Save me an emergency exit... Gotta stretch out
negative,@SouthwestAir do you not try to get customers to their destinations? No help to get on another airline if you had no flights for 3 days?
neutral,@JetBlue no. Did not catch his name. I am sure Jason will know.
negative,@USAirways. Yet another delay/missed connection....and your customer service has an attitude with me? Wow.
negative,@USAirways No access to Dividend Miles and for a week the automated phone keeps telling me to call back Late Flightr. #FRUSTRATED #LivePersonPlease
neutral,@united When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.
neutral,@united LGJW7B. I voluntarily rerouted; 1st leg of journey was in economy and was supposed to be 8B. Res agent said she'd reserve it for me
negative,@SouthwestAir Nashville airport has runways open. It appears southwest is only airline Cancelled Flighting flights. Is this likely to change?
negative,@USAirways no my flight plans have been delayed until tuesday due to your computer crash
positive,@SouthwestAir This is unbelievable... Thank you so much! #DestinationDragons
negative,@united big surprise #nogate waiting for our plane. Same fucken issues everything I fly you. #fail #worstairlineever
negative,"@USAirways tough night, two 90 minute calls, on hold, delayed here in Phoenix for two days because of one aircraft not ready? Not acceptable"
negative,@united but it's hard to stay upset at someone when they at least TRY to show remorse.
negative,@united 50 min on hold trying to book award flight because site errors out.  Agents ask for my pin to see platinum availability??? badbadbad
negative,@USAirways 23 min on hold... Drove 2.5 hours to get my delayed bag. I just want to pick it up at SJU.
neutral,@USAirways how do I reserve my seat on the AA flight I transfer to from ORD to EVV?
neutral,@United to start 3xdaily @EmbraerSA #ERJ145 flights from #Chicago @fly2ohare to #Evansville on 4JUN #avgeek
negative,@united flight 1136 from Chicago to Houston over 2 hours and no pretzels or peanuts?! Seriously about passed out.
positive,@united I left my comment with customer care. Thanks for contacting me.
positive,@united They held the plane! Made it!!
negative,"@AmericanAir That's ok...You may keep my $25 and lose my bag with no info, but you no longer have my trust. Bad way to handle this."
neutral,@VirginAmerica is that #thestarter??😁
positive,@JetBlue Learning about your awesome twitter management today in my Social Media Marketing class! keep up the good work! @SXU @PhD_Mama_
negative,@AmericanAir dropping the ball. Again. No catering. Plane switch. No gate attendant. 2 hours Late Flight. Really nice.
negative,@AmericanAir good care of their customers if anything happen to then take you @Delta  for getting me back to NYC !! Screw you @AmericanAir
neutral,@AmericanAir I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃
negative,@united I think problem resolution should be decided on your end. Especially if you'd like me to continue flying your airline.
negative,@USAirways I've been on hold for 36 mins and counting cause you charged my credit card for bag but provided no receipt and said error. Awful
positive,@united great. Looking forward to your response to my DM then
negative,@united it's my 21st birthday and my sister is coming to celebrate but her flights keep Cancelled Flighting PLZ do all you can to get her here!!!!
negative,@USAirways UR employee named VAN @ ticket counter in #Philadelphia. EXTREMELY RUDE! a Father trying to get home to sick kid missed flight.
negative,@SouthwestAir Horrible experience ever with airline..Have to reconsider any future flights. Customer service ... http://t.co/EczHcmM5vi
negative,"@AmericanAir for tomorrow some sites show flight 1642 from ewr Cancelled Flightled, is it?"
negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
negative,@AmericanAir Unbelievable that I cannot even wait on hold to speak to a human being to resolve my issue!!!!!!!! The system simply hangs up!
positive,"@AmericanAir continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh."
neutral,@USAirways we even offered to fly in to another airport and they said they couldn't do that. No explanation why they can't.
negative,@USAirways the phone number the gate gave me doesn't work either. What is your customer service phone number?
neutral,"@JetBlue flight 1041 to Savannah, GA"
negative,"@AmericanAir yes but you are still human I hope, dealing with all the horror stories people share... I complained to DOT. Everyone should"
negative,@JetBlue they are now being sent off the plane? Does anyone at JetBlue have a clue?
neutral,@SouthwestAir do you have all winners for @Imaginedragons #DestinationDragons
negative,@united quick (serious) question - any resources/ratings showing the quality of service is better than 8th place? http://t.co/deWIthPeW2
negative,@united can you not get the first flight of the day off the ground on time?   #1531.  Let's go.......
neutral,“@SouthwestAir:Southwest mobile boarding passes now available in iOS Passbook! http://t.co/xmRvR4lGEg http://t.co/wJoc9f14SU”@tori_leggieri
negative,@SouthwestAir I'm stuck in Fort Lauderdale.
neutral,@JetBlue I clear that folder regularly and JetBlue is white listed so it never got to me.
positive,@united Keep the flights cheap and early/on time and you are good. Flew @AmericanAir  and Cancelled Flightled my flight 4 times last month. United&gt;
negative,"@JetBlue I believe it's Irina. On the flip-side, super disappointed that EatUp Cafe isn't available on this BOS --&gt; SFO flight today."
negative,@USAirways 5534. That's the flight I was placed on after original flight to Charlotte was Cancelled Flightled.  Now 5534 is on 1hr delay
negative,@USAirways The captain turned off the seat belt sign so people can get up and walk around.  That's not good.
negative,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother
negative,"@AmericanAir Call me Chairman, or call me Emerald. After what you did today to me, you can call me a former customer."
negative,"@JetBlue we saw one, he was as useless as the tsa agents who inspected my shoes"
neutral,@united Thank you for your response!
negative,"@AmericanAir no one received text alerts, automated calls, anything either. Literally no information as to what was happening."
positive,@USAirways made it!!! Send Bloody Mary's to row 27!!!
negative,"@united 5 gate changes, two delays.  Even the crew thinks the airline sucks"
positive,@USAirways Thank You for your empathy there is more to this story than just the luggage but thank you for reaching out
positive,"@JetBlue Thanks JB. Actually, As a birder I love them too. They just need to be outside. It shouldn't be too hard to trap and move them."
negative,@USAirways flt 5302 CLT to DAY supposed to depart 5:51; the 6:20...still no crew. #schedule/contact the pilot!
neutral,@JetBlue to allow payment by #Apple Pay - Patriarc http://t.co/bdUaUZFhW2
negative,@united and now your rep just hung up on me after over 35 mins on hold because I asked for a supervisor. I'm furious right now.
negative,@AmericanAir no you're not you're trying to book me PAST when i need 2 arrive but you're still selling seats on the day I'm trying 2 travel
negative,@USAirways @AmericanAir seriously with all the service issues you are having right now this is what you decide to tweet?? Unbelievable
neutral,@AmericanAir will do. I also passed the website around to other passengers.
neutral,@united clicked on the link and got this? #confused http://t.co/xMAQcucWZl
neutral,@AmericanAir well we cleared customs in AUH. I need to get to IAH after I arrive in DFW. Is it possible to retrieve my luggage in IAD?
negative,@SouthwestAir @TaylorLumsden Taylor.  U gotta love SWA responsiveness at the@very least huh?
negative,"@AmericanAir flights been Cancelled Flightled, can't get through to the desk and nothing showing online under my reservation - what do I do?"
negative,@AmericanAir @USAirways - I'm pregnant with twins and you're going to abandon me overnight in an airport? No hotel? When it's your fault?
positive,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.
neutral,@united tried that. Cannot figure out where to go to get it.
negative,@united except all of that delayed the flight anyway.
negative,@JetBlue get flight 16 into the air
negative,@united let me assure you my travel time is 4h2m not 5h2m #timezones #accuratetraveltimes #3rdtimethishashappened http://t.co/e0C9bI09cf
positive,@united : thanks! i will catch my conection! :)
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/aJM3BhJVaa” #foh
positive,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.
negative,@united flight UA3364 been sitting on tarmac for 30 mins with no report as to why...any input?
negative,@USAirways sits on a throne of lies
negative,@SouthwestAir 3 flights Cancelled Flightled today. Now we have been on hold for over an hour!
negative,@SouthwestAir Late Flightly you've always been Late Flight! Please get back to the old #SWA!!
negative,@AmericanAir My ex-boyfriend picks up my calls more than you do! #Cancelled Flightedflight #nocustomerservice #americanairlines #FAIL
positive,@SouthwestAir I WOULD DO ANYTHING FOR tickets to the VEGAS... ANYTHING. I love imagine dragons so much!!
positive,"@SouthwestAir thanks for your attention, I've been flying southwest for 3 years and haven't had this issue in the past."
negative,"@USAirways never let's me down, every. Single. Flight. Gets delayed."
neutral,@USAirways me and my wife will be flying out of atlanta to vegas on March 7th since couldn't get any out of tricities here in Tn
negative,"@united 
Flight UA1665 got delayed 2 hours due to a mechanical issue...could use a free drink or 3 to make up for this inconvenience"
neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
negative,@SouthwestAir I'm in line at the airport right now. Will you cover hotel fair or am I to sleep in the airport?
negative,@JetBlue I don't know- no one would tell me where they were coming from - I would guess so as that's where we had all the changes to flights
neutral,@AmericanAir no worries you're swamped I know just dmd back THANK U
neutral,@SouthwestAir i forgot to put my tsa pre number in before I checked in. It is now in my profile but will it be on my boarding pass in the am
neutral,@SouthwestAir have five people shown up yet
negative,@AmericanAir I've never had anything bad to say until now. No love for faithful customers.
neutral,@SouthwestAir : Hello..are flights taking off from @DallasLoveField airport this noon. Am supposed to travel on flight 376 to San antonio
positive,"@SouthwestAir I love and appreciate the fact that you guys rarely Cancelled Flight flights and are on time, but I need a Cancelled Flightlation this time. 🙏"
neutral,@AmericanAir Connection is US2065
positive,@united all good man it isn't your fault that plane is having maintenance issues
negative,"@AmericanAir while I'm sensitive to this fact, I don't believe that warrants poor service. A little help &amp; compassion goes a long way."
negative,"@jetblue all your online resources  say we're on time, but clearly we are not.  This is not very information age of you..."
negative,@united You make it hard to fly with you. Delayed over an hour and now the plane  is turning around &amp; heading back to the gate. #connection?
negative,@USAirways your people are kind and hardworking the infrastructure you have given them is horrid #massivefail #failphone #fail
positive,@JetBlue THANKS!! Her 80th bday is Saturday. We're having an aviation themed surprise party for her.
positive,@JetBlue Airways Reveals 'Bluemanity' Livery - TravelPulse http://t.co/fTTfyFMvCO
negative,@USAirways @JosephTReis Dont bother. They dont pick up the phone. Worst customer service going
neutral,@AmericanAir Are you expecting any delays out of #DFW tomorrow morning?
negative,@USAirways flight 1808 is not leaving at 2:45 because we haven't even begun to board yet. Please update your website ASAP
negative,@AmericanAir what an incredibly arrogant thing to say while I sit here at O'Hare waiting for your incompetent airlines to refuel on a...
neutral,@JetBlue Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!
positive,@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!
negative,@united feeling like a true united customer stuck.on the tarmac in dc for over 2 hrs. UNITEDFAIL
negative,@united it is cool. Your customer told me they didn't care either. It is expected
neutral,@SouthwestAir when does today's scavenger hunt start? I'm trying to help my little brother win! #DestinationDragons
negative,@united &lt;&lt;&lt;&lt;&lt;------- shoddy customer service. Of no use whatsoever. #unitedairline
negative,@JetBlue Any option for luggage assistance on the ground at HPN? Flight 2168 delayed 2+ hours &amp; we will have 2 sleeping kids when we land
neutral,@SouthwestAir I DM'd you
negative,"@united yep—used that twice; no case id numbers assigned; just tried it again-get screen that says, “thank you for submitting your request”"
positive,@AmericanAir You guys did an amazing job today! Know it’s hard; thanks to Kate Appleton for all her hard work reFlight Booking Problems my friends and me!
negative,@AmericanAir you really need some customer service training for your unhappy EEs in the morning in Chicago. Gate K20 at 430 chking her schd
positive,@SouthwestAir your employees were great!
negative,@AmericanAir @SouljaCoy what is AA going to do to fix their utterly embarrassing customer service? You won't even answer the dang phone!
neutral,@SouthwestAir Please bring back RDU to FLL direct route!  I noticed it is missing starting in Late Flight August!  The flights are always packed!
negative,@USAirways doesn't want me to get home
negative,@USAirways The phone line disconnects. How can I be in the queue to be answered when the phone line simply disconnects when I call?
negative,@JetBlue I'm sitting on the plane. Too many predictable mechanical problems.  Still onboard. This is getting bad...
neutral,@USAirways @shivadelrahim what about upgrades?
neutral,@USAirways never received such horrible service or treated so poorly as Richard P. today. No excuse for attitude &amp; ripping up our tickets!
neutral,@JetBlue how do I get a copy of my last flight showing original time and delay? I need it for work. Thanks!
negative,@JetBlue can we get a honest update on departure of flite 454. Been on plane with infant children
neutral,"@USAirways US 728 Wait, now a gate opened. Back we go. (Good, maybe we can get off.)"
negative,@AmericanAir how do you NOT do maintenance on #MD80 while it sits for two days? Frozen lines found after its boarded? Come on! #faail #mci
negative,@SouthwestAir is seriously THE WORST. I don't remember the last time I or someone I knew had a flight that wasn't delayed / Cancelled Flightled / etc!
negative,@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!
negative,@USAirways ticket counter people here are not helping and just want to charge more money even after this horrible day.
negative,"@united on a 4 seg flt yvr to zurich, why would you credit all miles and but only 2 segs on full fare?"
negative,@AmericanAir just need to know why it wasn't done like it was promised it would yesterday
positive,@JetBlue #kudos! And we're done and heading to warmer weather!
negative,@SouthwestAir why are yall trying to fly me to Chicago when I don't live there?! Send me home now!!!! Bullshit ass customer service
negative,@SouthwestAir we have to stay in Chicago overnight and meet up with our bags there. I hope they stay put and don't get put on a flight.
negative,@united severely under staffed at Iah.
positive,@AmericanAir fantastic thanks! Will try and tweet a photo of the view :)
positive,@SouthwestAir I love my Companion Pass (qualified 4th year).  #HollyMais
negative,"@AmericanAir said that AA does not provide in-flight wifi on the routes to China based on some federal laws, but United does, why is that?"
neutral,"@SouthwestAir boarding passes now compatible with #iPhone #Passbook 
http://t.co/1ESmMnIZEk"
negative,"@USAirways - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???"
negative,@JetBlue u suck Big Donkey Balls!
positive,@SouthwestAir Thanks! Confirmation number just DMed. Appreciate any help!
negative,@JetBlue I shouldn't be made to feel like a criminal because I want to sit near my 5 year old on a flight. #jetblue http://t.co/qgtCao1J2U
neutral,@AmericanAir we've already made other arrangements ourselves.
negative,@USAirways cannot add my frequent flyer number on your website.  Can you help?
neutral,@SouthwestAir my ticket was booked 1/27 to CUN. Does the arrival time reflect that CUN is now on EST time?
negative,@united there are a lot of unhappy cold people on the bridge in freezing temps for an hour. Not given any info.
neutral,"@jetblue We'd love to help Shanese Bryant-Melton, a hard-working grandmother from DC, go to Miami. It's on her bucket list. #flyitforward"
neutral,@united Want to book a multi-city fare. Have miles for 1of 2 flights. An option to pay for 1st flight with miles +2nd with UMP Visa? Thanks!
negative,@united When will email address/username sign-on be available? It's been a while.
negative,"@united yes, I've been waiting for four hours and no one has been able to help me."
neutral,@AmericanAir I will thank you. What do I do if I can't get through and my flight on hold Cancelled Flights?
negative,@USAirways flight scheduled for 730pm...told at 150am that flight is Cancelled Flightled after sitting on cold plane for 2 hours.
negative,@united Yes there were PLENTY of seats available.  So why did Vicky Thomas refuse to give one to a million mile flyer?
negative,@united UA63 from Madrid arrived no agent mass confusion we sent to and fro by 3 UA employees. MaryJo was rude and unhelpful.
negative,@USAirways @AmericanAir terminal E in Miami is still the worst most smelly airport ever. Thanks for nothing.
negative,"@united great decision making skills flight ops IAH bag makes a 10 minute connection and I don't, flight pushed early. Disappointed!!!!"
neutral,@JetBlue When I checked yesterday it looked like it did. Did something change?
negative,@united no it weighed 45.5 and it was the only checked bag
negative,@USAirways When I check online it states status closed. What does this mean? As I have yet been able to reach a live person...
negative,@united you asked me to DM then ignore them. Please assist in changing to another flight today- 21 Feb fra to mco avoiding IAD.
neutral,@AmericanAir #AmericanAirlines on approach to mex.... http://t.co/se57dmjHiW
negative,@united &amp; finally he was told he couldnt use the front of plane restrm (he was row7) though myself/others in rows behind him used w/no issue
neutral,@AmericanAir any earlier flights SAP-&gt;Mia &amp; Mia -&gt; New York (lga) on 03.03. I'm currently booked on flights 1504 and 1102.
negative,@united last night we waited forever at the gate because someone from corporate dispatch FORGOT to call the crew #unfriendlyskies
negative,@united - SERIOUSLY it's 2015?!?!  NO WiFi on a 5hr flight from CLE-SFO #1589.  You're the ONLY airline without WiFi...
negative,@united you told me you changed my flight and im in the ottawa airport and AC cant find my reservation! Whats wrong with you
negative,“@JetBlue: @Analystdoc Unfortunately that's not an available option with our current system. Sorry guys. That's a certain #fail Fix it plz.
negative,"@united don't need your apologies, need my bag. Took 56 minutes from landing to get it. Unacceptable."
neutral,@AmericanAir See photo of B787 scale model &amp; our PN 320008A wheel deflator specified in Chapter 32 of B787 AMM. http://t.co/kfD4WQRkLW
neutral,@united flying out of STL Saturday where they are expecting ice &amp; snow. When should we start looking for travel waivers? Thanks!
negative,@AmericanAir thanks for getting back to me. But I will find other airlines in the future.
positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
negative,@united I will be patient in my luxurious middle seat on my next delayed flight
negative,@USAirways 4 hours on tarmac in Charleston and still can't get a response after a week. Unacceptable
negative,@SouthwestAir What's happened to your customer service? 2 Cancelled Flightled flights in 2 days &amp; an uninformed and unapologetic staff. #nolove #cali
negative,@united 777 from SFO to HNL with ZERO entertainment systems???!!!#youareonyourown
negative,@AmericanAir 3078 is overweight so you pull 2 dozen passengers off? Why not luggage? Seriously?
negative,"@JetBlue disappointed that my flight back to boston from PR was Cancelled Flightled,rebooked 4 the next day,delayed that one too, and no compensation"
negative,@united have better customer service at John Wayne airport.
negative,"@AmericanAir after waiting for a delayed plane, we sat on the plane for an hour waiting for a Late Flight passenger. That's BS too.."
negative,@united As it always is. Helps to communicate to customers.
negative,@united you're customer service is unbelievably bad. Abysmal. I've been on the phone for well over 2hrs tonight. Hung up on by yr ppl 3x.
neutral,@SouthwestAir 3rd time flying southwest in two years. Have another trip back to mx on October.
negative,@AmericanAir Priority baggage evidently means it comes out last
negative,@united did I mention one bag is an infant car seat &amp; we've been stuck with yr poor replacement on icy mtn roads
positive,"@united Just did, thanks for checking! :)"
negative,"@AmericanAir I understand that, but I'm not even being put on hold - it says ""try again Late Flightr, goodbye""."
negative,@united why I won't check my carry on. Watched a handler throw this bag -- miss the conveyer belt -- sat there 10 min http://t.co/lyoocx5mSH
negative,"@SouthwestAir You rerouted my bf's flight and he's diabetic with little insulin; even though we tried to change it, the agent wouldn't do it"
negative,"@AmericanAir there's a lot of talks and no doing. 
MIA-SFO on a 20+ year old plane #nonewplanes #old #shame http://t.co/TwETPXUpPN"
negative,@AmericanAir  flight to dca I need to change asap help can't get through
negative,@united All these changes. Way to stick it to your Premiere 1K loyal customers. Why make things harder for those that loyal to you?
negative,@USAirways ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded.
negative,@united I hope not to see the same issue on my return flight tomorrow
negative,@united customer service 👎
negative,"@USAirways My wife, sick 3yr-old-twins, and I have been waiting in line now for 2hrs to see an agent! Phone agent said nothing til Tuesday!"
negative,@JetBlue ruining vacations left and right. Who would have thought an airline can Cancelled Flight tickets without telling the buyer
neutral,"@SouthwestAir Guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)"
negative,"@USAirways Seriously, flight delay Cinci to Philly due to new ground staff, miss connection to MAN UK and now have to argue for hotel. WTF"
negative,"@united, this is the line in Denver to rebook due to weather issues. DO BETTER. http://t.co/tmccExYaaQ"
neutral,@USAirways How do I redeem my pass to the admirals club? I have 1 free visit with my barclay card membership. And can I bring a companion?
negative,@USAirways #FAILINGYOURCUSTOMER ONE BY ONE
positive,@JetBlue you guys continue to impress. Your crew @ MCO gate 4helped our family with seat issues. #professional
negative,"@SouthwestAir doesn't charge ticket change fees. Do they not incur the same mysterious ""costs"" that you incur, @united?"
negative,@AmericanAir how can you not be taking calls? I need to change my flight!
negative,@USAirways flight 1735 sitting fully loaded for over an hour. Air conditioning barely working :-(
negative,"@JetBlue dropping passengers with small baby and 3 infants at your San Juan terminal. As unloading baby, officer writes me ticket for $75"
positive,@SouthwestAir I continue to be amazed by the amazing customer service.  Thank you SWA!
neutral,@SouthwestAir hilarious flight attendants on Vegas to Detroit tonight http://t.co/nw7vx7DGMF
negative,@AmericanAir Are you people cruel or just stupid? Why are you posting my personal email on the damn Internet? Have u lost your mind?!
negative,@AmericanAir narrowly made standby...lots of snags this trip!
positive,@SouthwestAir Thank you!  #thankful #feelingtheluv
negative,@AmericanAir Took a flight yesterday fron TPA-DFW-AUS. Bag went to IAH. Today bag went to IAH-DFW and then back to IAH. Still no bag!
negative,@AmericanAir now down to only one agent helping a stagnant line of almost 100 customers. Super.
neutral,@SouthwestAir do you have a pair of tickets to the @Imaginedragons show in Atlanta?! I'd love to go! #DestinationDragons
negative,"@SouthwestAir, got ""duped"" w/ a connection on 1st flight (sneaky), now u won't give me a seat on an earlier flight w/ availability. Shameful"
